LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;18;11;0,0541;6;;Not Available;;U;P;3835;;;0,24;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Axe;?;?;?;Casier Grand OrangeDeux;A;4
;;18;86;0,091;2;;Not Available;;U;P;3835;;;0,24;;;Minifigure, Utensil;Minifigure;Utensil;P;;Light Bluish Gray;###AFB5C7;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Axe;?;?;?;Casier Grand OrangeDeux;A;4
;;18;88;0,0552;7;;Not Available;;U;P;3836;;;0,44;;;Minifigure, Utensil;Minifigure;Utensil;P;;Reddish Brown;###89351D;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Push Broom;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,0677;3;;Not Available;;U;P;3837;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Shovel (Round Stem End);?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,0663;4;;Not Available;;U;P;3837;;;0,33;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Shovel (Round Stem End);?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,0634;8;;Not Available;;U;P;3841;;;0,42;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Pickaxe;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,0443;5;;Not Available;;U;P;4006;;;0,39;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Spanner Wrench / Screwdriver;?;?;?;Casier Grand OrangeDeux;A;4
;;19;11;0,1893;1;;Not Available;;U;P;43887;;;0,57;;;Minifigure, Weapon;Minifigure;Weapon;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Scimitar;?;?;?;Casier Grand OrangeDeux;A;4
;;19;22;0,7844;2;;Not Available;;U;P;44658a;;;0,1;;;Minifigure, Weapon;Minifigure;Weapon;P;;Chrome Silver;###DCDCDC;Chrome;;;;;;;;;;;;;;Part;Minifigure, Weapon Knife;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,0648;1;;Not Available;;U;P;4522;;;0,28;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Mallet / Hammer;?;?;?;Casier Grand OrangeDeux;A;4
;;19;77;0,1393;10;;Not Available;;U;P;53705;;;0,27;;;Minifigure, Weapon;Minifigure;Weapon;P;;Pearl Dark Gray;###666660;Pearl;;;;;;;;;;;;;;Part;Minifigure, Weapon Axe Head with Clip;?;?;?;Casier Grand OrangeDeux;A;4
;;19;69;0,1191;2;;Not Available;;U;P;60752;;;0,44;;;Minifigure, Weapon;Minifigure;Weapon;P;;Dark Tan;###B89869;Solid;;;;;;;;;;;;;;Part;Minifigure, Weapon Sword, Scimitar with Nicks;2;5.5;0.5;Casier Grand OrangeDeux;A;4
;;18;11;2,4613;1;;Not Available;;U;P;6246a;;;0,11;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Screwdriver - Narrow Head - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;12,4248;3;;Not Available;;U;P;6246a;;;0,11;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Screwdriver - Narrow Head - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,1564;1;;Not Available;;U;P;6246b;;;0,18;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Cross Pein Hammer - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,1422;1;;Not Available;;U;P;6246c;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Power Drill;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,7447;3;;Not Available;;U;P;6246c;;;0,5;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Power Drill;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;3,2844;5;;Not Available;;U;P;6246d;;;0,15;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Box Wrench - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,1084;1;;Not Available;;U;P;6246e;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Open End Wrench - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;85;0,4635;2;;Not Available;;U;P;6246e;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Dark Bluish Gray;###595D60;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Open End Wrench - 6-Rib Handle;?;?;?;Casier Grand OrangeDeux;A;4
;;18;11;0,1127;1;;Not Available;;U;P;6246f;;;0,3;;;Minifigure, Utensil;Minifigure;Utensil;P;;Black;###212121;Solid;;;;;;;;;;;;;;Part;Minifigure, Utensil Tool Oil Can - Smooth Handle;?;?;?;Casier Grand OrangeDeux;A;4
