LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;22;5;0,9122;5;;id3149ac01color5.jpg;;U;P;3149ac01;;;2,75;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4 without Hole;2;5;0;Casier Petit Gris;A;5;
;;22;11;0,7591;1;;id3149c01color11.jpg;;U;P;3149c01;;;2,73;;;Hinge;Hinge;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 2 x 4;?;?;?;Casier Petit Gris;A;5;
;;40;86;0,0412;256;;id3679color86.jpg;;U;P;3679;;;0,3;;;Turntable;Turntable;;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Top;?;?;?;Casier Petit Gris;B;1;
;;40;1;0,0753;25;;id3680color1.jpg;;U;P;3680;;;0,4;;;Turntable;Turntable;;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Base;2;2;0;Casier Petit Gris;B;1;
;;40;3;0,0967;31;;id3680color3.jpg;;U;P;3680;;;0,4;;;Turntable;Turntable;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Base;2;2;0;Casier Petit Gris;B;1;
;;40;7;0,047;26;;id3680color7.jpg;;U;P;3680;;;0,4;;;Turntable;Turntable;;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Base;2;2;0;Casier Petit Gris;B;1;
;;40;9;2,8937;3;;id3680color9.jpg;;U;P;3680;;;0,4;;;Turntable;Turntable;;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Base;2;2;0;Casier Petit Gris;B;1;
;;40;11;0,0792;44;;id3680color11.jpg;;U;P;3680;;;0,4;;;Turntable;Turntable;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Turntable 2 x 2 Plate, Base;2;2;0;Casier Petit Gris;B;1;
;;27;3;0,0491;71;;id3794acolor3.jpg;;U;P;3794a;;;0,3;;;Plate, Modified;Plate;Modified;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper);1;2;0;Casier Petit Gris;B;1;
;;27;7;0,0543;56;;id3794acolor7.jpg;;U;P;3794a;;;0,3;;;Plate, Modified;Plate;Modified;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper);1;2;0;Casier Petit Gris;B;1;
;;7;1;0,1375;6;;id3963color1.jpg;;U;P;3963;;;1;;;Brick, Modified;Brick;Modified;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 1 with 3 Loudspeakers / Space Positioning Rockets;?;?;?;Casier Petit Gris;B;2;
;;7;9;0,1424;15;;id3963color9.jpg;;U;P;3963;;;1;;;Brick, Modified;Brick;Modified;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 1 with 3 Loudspeakers / Space Positioning Rockets;?;?;?;Casier Petit Gris;B;2;
;;7;11;0,1091;25;;id3963color11.jpg;;U;P;3963;;;1;;;Brick, Modified;Brick;Modified;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 1 with 3 Loudspeakers / Space Positioning Rockets;?;?;?;Casier Petit Gris;B;2;
;;7;86;0,0668;2;;id3963color86.jpg;;U;P;3963;;;1;;;Brick, Modified;Brick;Modified;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 1 with 3 Loudspeakers / Space Positioning Rockets;?;?;?;Casier Petit Gris;B;2;
;;4;1;0,0536;26;;id2436color1.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;2;0,8253;1;;id2436color2.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Tan;#EED9A4;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
