LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;83;11;0,1827;1;;Not Available;;U;P;57906pb019;;;3;;;Hinge, Decorated;Hinge;Decorated;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 3 x 12 with Angled Side Extensions and Tapered Ends with Silver and Yellow Circuit Pattern (Sticker) - Set 8117;3;12;1;Grand Casier BleueuClair;B;4;
;;30;11;0,0343;8;;id2479color11.jpg;;U;P;2479;;;1,38;;;Propeller;Propeller;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter with Rounded Ends and Open Hub;?;?;?;Grand Casier BleueuClair;B;5;
;;30;7;0,0439;3;;id2479color7.jpg;;U;P;2479;;;1,38;;;Propeller;Propeller;;P;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter with Rounded Ends and Open Hub;?;?;?;Grand Casier BleueuClair;B;5;
;;30;9;0,0483;4;;id2479color9.jpg;;U;P;2479;;;1,38;;;Propeller;Propeller;;P;;Light Gray;##9C9C9C;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter with Rounded Ends and Open Hub;?;?;?;Grand Casier BleueuClair;B;5;
;;27;11;0,0976;3;;id3462color11.jpg;;U;P;3462;;;1,06;;;Plate, Modified;Plate;Modified;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 3 with Helicopter Rotor Holder;?;?;?;Grand Casier BleueuClair;B;5;
;;27;5;0,0756;4;;id3462color5.jpg;;U;P;3462;;;1,06;;;Plate, Modified;Plate;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 3 with Helicopter Rotor Holder;?;?;?;Grand Casier BleueuClair;B;5;
;;27;1;0,0912;2;;id3481color1.jpg;;U;P;3481;;;1,12;;;Plate, Modified;Plate;Modified;P;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 2 with Helicopter Tail Rotor Holder;?;?;?;Grand Casier BleueuClair;B;5;
;;27;5;0,0682;3;;id3481color5.jpg;;U;P;3481;;;1,12;;;Plate, Modified;Plate;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 2 with Helicopter Tail Rotor Holder;?;?;?;Grand Casier BleueuClair;B;5;
;;27;7;0,1894;1;;id3481color7.jpg;;U;P;3481;;;1,12;;;Plate, Modified;Plate;Modified;P;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 2 with Helicopter Tail Rotor Holder;?;?;?;Grand Casier BleueuClair;B;5;
;;30;3;0,3082;2;;id4617acolor3.jpg;;U;P;4617a;;;1,4;;;Propeller;Propeller;;P;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Propeller 3 Blade 5.5 Diameter, Small Pin Hole;5.5;5.5;0;Grand Casier BleueuClair;B;5;
;;30;11;0,0346;9;;id2421color11.jpg;;U;P;2421;;;0,41;;;Propeller;Propeller;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Propeller 3 Blade Small;?;?;?;Grand Casier BleueuClair;C;1;
;;30;9;0,0568;3;;id2421color9.jpg;;U;P;2421;;;0,41;;;Propeller;Propeller;;P;;Light Gray;##9C9C9C;Solid;;;;;;;;;;;;;;Part;Propeller 3 Blade Small;?;?;?;Grand Casier BleueuClair;C;1;
;;140;86;0,0712;5;;id32125color86.jpg;;U;P;32125;;;1,25;;;Technic, Plate;Technic;Plate;P;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Plate Rotor 3 Blade with Smooth Ends and 6 Studs (Propeller);?;?;?;Grand Casier BleueuClair;C;1;
;;30;11;0,0932;2;;id3461color11.jpg;;U;P;3461;;;2;;;Propeller;Propeller;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter 5 x 5 with Center Hole for Rotor Holder;5;5;0.67;Grand Casier BleueuClair;C;1;
;;30;3;0,0701;1;;id3461color3.jpg;;U;P;3461;;;2;;;Propeller;Propeller;;P;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter 5 x 5 with Center Hole for Rotor Holder;5;5;0.67;Grand Casier BleueuClair;C;1;
;;30;9;0,0762;3;;id3461color9.jpg;;U;P;3461;;;2;;;Propeller;Propeller;;P;;Light Gray;##9C9C9C;Solid;;;;;;;;;;;;;;Part;Propeller 4 Blade 5 Diameter 5 x 5 with Center Hole for Rotor Holder;5;5;0.67;Grand Casier BleueuClair;C;1;
;;30;11;0,0430;2;;id4617color11.jpg;;U;P;4617;;;1,4;;;Propeller;Propeller;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Propeller 3 Blade 5.5 Diameter;?;?;?;Grand Casier BleueuClair;C;1;
;;30;3;0,0674;2;;id4617color3.jpg;;U;P;4617;;;1,4;;;Propeller;Propeller;;P;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Propeller 3 Blade 5.5 Diameter;?;?;?;Grand Casier BleueuClair;C;1;
